,id,pos_X,pos_Y
77,77,11.26,-12.0
78,78,10.39,-11.5
79,79,9.53,-11.0
80,80,11.26,-11.0
81,81,11.26,-16.0
82,82,10.39,-15.5
83,83,11.26,-15.0
84,84,10.39,-14.5
85,85,12.12,-15.5
86,86,12.99,-15.0
87,87,12.12,-14.5
88,88,11.26,-14.0
89,89,12.12,-13.5
90,90,10.39,-10.5
91,91,9.53,-10.0
92,92,11.26,-10.0
93,93,10.39,-9.5
94,94,9.53,-9.0
95,95,11.26,-9.0
96,96,10.39,-8.5
97,97,9.53,-8.0
98,98,11.26,-8.0
99,99,10.39,-7.5
100,100,9.53,-7.0
101,101,11.26,-7.0
102,102,10.39,-6.5
103,103,9.53,-6.0
104,104,11.26,-6.0
105,105,10.39,-5.5
106,106,9.53,-5.0
107,107,11.26,-5.0
108,108,12.99,-9.0
109,109,12.12,-8.5
110,110,13.86,-8.5
111,111,12.99,-8.0
112,112,12.12,-7.5
113,113,13.86,-7.5
114,114,12.99,-7.0
115,115,12.12,-6.5
116,116,13.86,-6.5
117,117,12.99,-6.0
118,118,12.12,-5.5
119,119,13.86,-5.5
120,120,12.99,-5.0
121,121,12.12,-4.5
122,122,13.86,-4.5
123,123,12.99,-4.0
124,124,12.12,-3.5
125,125,13.86,-3.5
126,126,12.99,-3.0
127,127,12.12,-2.5
128,128,13.86,-2.5
129,129,12.99,-2.0
130,130,12.12,-1.5
131,131,13.86,-1.5
132,132,12.99,-1.0
133,133,12.12,-0.5
134,134,13.86,-0.5
135,135,10.39,-4.5
136,136,9.53,-4.0
137,137,11.26,-4.0
138,138,10.39,-3.5
139,139,9.53,-3.0
140,140,11.26,-3.0
141,141,10.39,-2.5
142,142,9.53,-2.0
143,143,11.26,-2.0
144,144,5.2,-18.5
145,145,6.93,-18.5
146,146,6.06,-18.0
147,147,6.93,-17.5
148,148,6.06,-17.0
149,149,7.79,-17.0
150,150,6.93,-16.5
151,151,7.79,-16.0
152,152,6.93,-15.5
153,153,7.79,-18.0
154,154,8.66,-17.5
155,155,9.53,-17.0
156,156,8.66,-16.5
157,157,10.39,-16.5
158,158,9.53,-16.0
159,159,8.66,-15.5
160,160,9.53,-15.0
161,161,9.53,-14.0
162,162,7.79,-15.0
163,163,6.93,-14.5
164,164,8.66,-14.5
165,165,7.79,-14.0
166,166,6.93,-13.5
167,167,8.66,-13.5
168,168,7.79,-13.0
169,169,6.93,-12.5
170,170,8.66,-12.5
171,171,7.79,-12.0
172,172,6.93,-11.5
173,173,8.66,-11.5
174,174,7.79,-11.0
175,175,6.93,-10.5
176,176,8.66,-10.5
177,177,7.79,-10.0
178,178,6.93,-9.5
179,179,8.66,-9.5
180,180,7.79,-9.0
181,181,6.93,-8.5
182,182,8.66,-8.5
183,183,7.79,-8.0
184,184,6.93,-7.5
185,185,8.66,-7.5
186,186,7.79,-7.0
187,187,6.93,-6.5
188,188,8.66,-6.5
189,189,7.79,-6.0
190,190,6.93,-5.5
191,191,8.66,-5.5
192,192,7.79,-5.0
193,193,6.93,-4.5
194,194,8.66,-4.5
195,195,7.79,-4.0
196,196,6.93,-3.5
197,197,8.66,-3.5
198,198,7.79,-3.0
199,199,6.93,-2.5
200,200,8.66,-2.5
201,201,7.79,-2.0
202,202,6.93,-1.5
203,203,8.66,-1.5
204,204,7.79,-1.0
205,205,6.93,-0.5
206,206,8.66,-0.5
207,207,10.39,-1.5
208,208,9.53,-1.0
209,209,11.26,-1.0
210,210,10.39,-0.5
211,211,9.53,0.0
212,212,11.26,0.0
213,213,10.39,0.5
214,214,9.53,1.0
215,215,11.26,1.0
216,216,1.73,-19.5
217,217,3.46,-19.5
218,218,2.6,-19.0
219,219,1.73,-18.5
220,220,4.33,-19.0
221,221,3.46,-18.5
222,222,4.33,-18.0
223,223,5.2,-17.5
224,224,4.33,-17.0
225,225,5.2,-16.5
226,226,4.33,-16.0
227,227,6.06,-16.0
228,228,5.2,-15.5
229,229,4.33,-15.0
230,230,6.06,-15.0
231,231,5.2,-14.5
232,232,4.33,-14.0
233,233,6.06,-14.0
234,234,5.2,-13.5
235,235,4.33,-13.0
236,236,6.06,-13.0
237,237,5.2,-12.5
238,238,4.33,-12.0
239,239,6.06,-12.0
240,240,5.2,-11.5
241,241,4.33,-11.0
242,242,6.06,-11.0
243,243,5.2,-10.5
244,244,4.33,-10.0
245,245,6.06,-10.0
246,246,5.2,-9.5
247,247,4.33,-9.0
248,248,6.06,-9.0
249,249,5.2,-8.5
250,250,4.33,-8.0
251,251,6.06,-8.0
252,252,5.2,-4.5
253,253,4.33,-4.0
254,254,6.06,-4.0
255,255,5.2,-3.5
256,256,4.33,-3.0
257,257,6.06,-3.0
258,258,5.2,-2.5
259,259,4.33,-2.0
260,260,6.06,-2.0
261,261,5.2,-7.5
262,262,4.33,-7.0
263,263,6.06,-7.0
264,264,5.2,-6.5
265,265,4.33,-6.0
266,266,6.06,-6.0
267,267,5.2,-5.5
268,268,4.33,-5.0
269,269,6.06,-5.0
270,270,2.6,-6.0
271,271,1.73,-5.5
272,272,3.46,-5.5
273,273,2.6,-5.0
274,274,1.73,-4.5
275,275,3.46,-4.5
276,276,2.6,-4.0
277,277,1.73,-3.5
278,278,3.46,-3.5
279,279,2.6,-3.0
280,280,1.73,-2.5
281,281,3.46,-2.5
282,282,2.6,-2.0
283,283,1.73,-1.5
284,284,3.46,-1.5
285,285,2.6,-1.0
286,286,1.73,-0.5
287,287,3.46,-0.5
288,288,2.6,-18.0
289,289,1.73,-17.5
290,290,3.46,-17.5
291,291,2.6,-17.0
292,292,1.73,-16.5
293,293,3.46,-16.5
294,294,2.6,-16.0
295,295,1.73,-15.5
296,296,3.46,-15.5
297,297,2.6,-15.0
298,298,1.73,-14.5
299,299,3.46,-14.5
300,300,2.6,-14.0
301,301,1.73,-13.5
302,302,3.46,-13.5
303,303,2.6,-13.0
304,304,1.73,-12.5
305,305,3.46,-12.5
306,306,2.6,-12.0
307,307,1.73,-11.5
308,308,3.46,-11.5
309,309,2.6,-11.0
310,310,1.73,-10.5
311,311,3.46,-10.5
312,312,2.6,-10.0
313,313,1.73,-9.5
314,314,3.46,-9.5
315,315,2.6,-9.0
316,316,1.73,-8.5
317,317,3.46,-8.5
318,318,2.6,-8.0
319,319,1.73,-7.5
320,320,3.46,-7.5
321,321,2.6,-7.0
322,322,1.73,-6.5
323,323,3.46,-6.5
324,324,0.0,-16.5
325,325,-0.87,-16.0
326,326,0.87,-16.0
327,327,0.0,-15.5
328,328,-0.87,-15.0
329,329,0.87,-15.0
330,330,0.0,-14.5
331,331,-0.87,-14.0
332,332,0.87,-14.0
333,333,0.0,-19.5
334,334,-0.87,-19.0
335,335,0.87,-19.0
336,336,0.0,-18.5
337,337,-0.87,-18.0
338,338,0.87,-18.0
339,339,0.0,-17.5
340,340,-0.87,-17.0
341,341,0.87,-17.0
342,342,0.0,-13.5
343,343,-0.87,-13.0
344,344,0.87,-13.0
345,345,0.0,-12.5
346,346,-0.87,-12.0
347,347,0.87,-12.0
348,348,0.0,-11.5
349,349,-0.87,-11.0
350,350,0.87,-11.0
351,351,0.0,-10.5
352,352,-0.87,-10.0
353,353,0.87,-10.0
354,354,0.0,-9.5
355,355,-0.87,-9.0
356,356,0.87,-9.0
357,357,0.0,-8.5
358,358,-0.87,-8.0
359,359,0.87,-8.0
360,360,0.0,-7.5
361,361,-0.87,-7.0
362,362,0.87,-7.0
363,363,0.0,-6.5
364,364,-0.87,-6.0
365,365,0.87,-6.0
366,366,0.0,-5.5
367,367,-0.87,-5.0
368,368,0.87,-5.0
369,369,0.0,-4.5
370,370,-0.87,-4.0
371,371,0.87,-4.0
372,372,0.0,-3.5
373,373,-0.87,-3.0
374,374,0.87,-3.0
375,375,0.0,-2.5
376,376,-0.87,-2.0
377,377,0.87,-2.0
378,378,-2.6,-3.0
379,379,-3.46,-2.5
380,380,-1.73,-2.5
381,381,-2.6,-2.0
382,382,-3.46,-1.5
383,383,-1.73,-1.5
384,384,-2.6,-1.0
385,385,-3.46,-0.5
386,386,-1.73,-0.5
387,387,0.0,-1.5
388,388,-0.87,-1.0
389,389,0.87,-1.0
390,390,0.0,-0.5
391,391,-0.87,0.0
392,392,0.87,0.0
393,393,0.0,0.5
394,394,-0.87,1.0
395,395,0.87,1.0
396,396,-2.6,-9.0
397,397,-3.46,-8.5
398,398,-1.73,-8.5
399,399,-2.6,-8.0
400,400,-3.46,-7.5
401,401,-1.73,-7.5
402,402,-2.6,-7.0
403,403,-3.46,-6.5
404,404,-1.73,-6.5
405,405,-2.6,-6.0
406,406,-3.46,-5.5
407,407,-1.73,-5.5
408,408,-2.6,-5.0
409,409,-3.46,-4.5
410,410,-1.73,-4.5
411,411,-2.6,-4.0
412,412,-3.46,-3.5
413,413,-1.73,-3.5
414,414,-5.2,-4.5
415,415,-6.06,-4.0
416,416,-4.33,-4.0
417,417,-5.2,-3.5
418,418,-6.06,-3.0
419,419,-4.33,-3.0
420,420,-5.2,-2.5
421,421,-6.06,-2.0
422,422,-4.33,-2.0
423,423,-5.2,-1.5
424,424,-6.06,-1.0
425,425,-4.33,-1.0
426,426,-5.2,-0.5
427,427,-6.06,0.0
428,428,-4.33,0.0
429,429,-5.2,0.5
430,430,-6.06,1.0
431,431,-4.33,1.0
432,432,-3.46,-19.5
433,433,-1.73,-19.5
434,434,-2.6,-19.0
435,435,-1.73,-18.5
436,436,-4.33,-19.0
437,437,-3.46,-18.5
438,438,-4.33,-18.0
439,439,-5.2,-17.5
440,440,-4.33,-17.0
441,441,-2.6,-18.0
442,442,-3.46,-17.5
443,443,-1.73,-17.5
444,444,-2.6,-17.0
445,445,-3.46,-16.5
446,446,-1.73,-16.5
447,447,-2.6,-16.0
448,448,-3.46,-15.5
449,449,-1.73,-15.5
450,450,-2.6,-15.0
451,451,-3.46,-14.5
452,452,-1.73,-14.5
453,453,-2.6,-14.0
454,454,-3.46,-13.5
455,455,-1.73,-13.5
456,456,-2.6,-13.0
457,457,-3.46,-12.5
458,458,-1.73,-12.5
459,459,-2.6,-12.0
460,460,-3.46,-11.5
461,461,-1.73,-11.5
462,462,-2.6,-11.0
463,463,-3.46,-10.5
464,464,-1.73,-10.5
465,465,-2.6,-10.0
466,466,-3.46,-9.5
467,467,-1.73,-9.5
468,468,-6.93,-18.5
469,469,-5.2,-18.5
470,470,-6.06,-18.0
471,471,-6.93,-17.5
472,472,-7.79,-17.0
473,473,-6.06,-17.0
474,474,-6.93,-16.5
475,475,-7.79,-16.0
476,476,-6.93,-15.5
477,477,-5.2,-16.5
478,478,-6.06,-16.0
479,479,-4.33,-16.0
480,480,-5.2,-15.5
481,481,-6.06,-15.0
482,482,-4.33,-15.0
483,483,-5.2,-14.5
484,484,-6.06,-14.0
485,485,-4.33,-14.0
486,486,-5.2,-13.5
487,487,-6.06,-13.0
488,488,-4.33,-13.0
489,489,-5.2,-12.5
490,490,-6.06,-12.0
491,491,-4.33,-12.0
492,492,-5.2,-11.5
493,493,-6.06,-11.0
494,494,-4.33,-11.0
495,495,-5.2,-10.5
496,496,-6.06,-10.0
497,497,-4.33,-10.0
498,498,-5.2,-9.5
499,499,-6.06,-9.0
500,500,-4.33,-9.0
501,501,-5.2,-8.5
502,502,-6.06,-8.0
503,503,-4.33,-8.0
504,504,-7.79,-6.0
505,505,-8.66,-5.5
506,506,-6.93,-5.5
507,507,-7.79,-5.0
508,508,-8.66,-4.5
509,509,-6.93,-4.5
510,510,-7.79,-4.0
511,511,-8.66,-3.5
512,512,-6.93,-3.5
513,513,-5.2,-7.5
514,514,-6.06,-7.0
515,515,-4.33,-7.0
516,516,-5.2,-6.5
517,517,-6.06,-6.0
518,518,-4.33,-6.0
519,519,-5.2,-5.5
520,520,-6.06,-5.0
521,521,-4.33,-5.0
522,522,-10.39,-4.5
523,523,-11.26,-4.0
524,524,-9.53,-4.0
525,525,-10.39,-3.5
526,526,-11.26,-3.0
527,527,-9.53,-3.0
528,528,-10.39,-2.5
529,529,-11.26,-2.0
530,530,-9.53,-2.0
531,531,-7.79,-3.0
532,532,-8.66,-2.5
533,533,-6.93,-2.5
534,534,-7.79,-2.0
535,535,-8.66,-1.5
536,536,-6.93,-1.5
537,537,-7.79,-1.0
538,538,-8.66,-0.5
539,539,-6.93,-0.5
540,540,-7.79,-18.0
541,541,-8.66,-17.5
542,542,-9.53,-17.0
543,543,-8.66,-16.5
544,544,-10.39,-16.5
545,545,-9.53,-16.0
546,546,-8.66,-15.5
547,547,-9.53,-15.0
548,548,-9.53,-14.0
549,549,-7.79,-15.0
550,550,-8.66,-14.5
551,551,-6.93,-14.5
552,552,-7.79,-14.0
553,553,-8.66,-13.5
554,554,-6.93,-13.5
555,555,-7.79,-13.0
556,556,-8.66,-12.5
557,557,-6.93,-12.5
558,558,-7.79,-12.0
559,559,-8.66,-11.5
560,560,-6.93,-11.5
561,561,-7.79,-11.0
562,562,-8.66,-10.5
563,563,-6.93,-10.5
564,564,-7.79,-10.0
565,565,-8.66,-9.5
566,566,-6.93,-9.5
567,567,-7.79,-9.0
568,568,-8.66,-8.5
569,569,-6.93,-8.5
570,570,-7.79,-8.0
571,571,-8.66,-7.5
572,572,-6.93,-7.5
573,573,-7.79,-7.0
574,574,-8.66,-6.5
575,575,-6.93,-6.5
576,576,-11.26,-16.0
577,577,-10.39,-15.5
578,578,-11.26,-15.0
579,579,-10.39,-14.5
580,580,-12.12,-15.5
581,581,-12.99,-15.0
582,582,-12.12,-14.5
583,583,-11.26,-14.0
584,584,-12.12,-13.5
585,585,-10.39,-13.5
586,586,-11.26,-13.0
587,587,-9.53,-13.0
588,588,-10.39,-12.5
589,589,-11.26,-12.0
590,590,-9.53,-12.0
591,591,-10.39,-11.5
592,592,-11.26,-11.0
593,593,-9.53,-11.0
594,594,-10.39,-10.5
595,595,-11.26,-10.0
596,596,-9.53,-10.0
597,597,-10.39,-9.5
598,598,-11.26,-9.0
599,599,-9.53,-9.0
600,600,-10.39,-8.5
601,601,-11.26,-8.0
602,602,-9.53,-8.0
603,603,-10.39,-7.5
604,604,-11.26,-7.0
605,605,-9.53,-7.0
606,606,-10.39,-6.5
607,607,-11.26,-6.0
608,608,-9.53,-6.0
609,609,-10.39,-5.5
610,610,-11.26,-5.0
611,611,-9.53,-5.0
612,612,-12.99,-14.0
613,613,-13.86,-13.5
614,614,-12.99,-13.0
615,615,-12.12,-12.5
616,616,-14.72,-13.0
617,617,-13.86,-12.5
618,618,-14.72,-12.0
619,619,-15.59,-11.5
620,620,-14.72,-11.0
621,621,-12.99,-12.0
622,622,-13.86,-11.5
623,623,-12.12,-11.5
624,624,-12.99,-11.0
625,625,-13.86,-10.5
626,626,-12.12,-10.5
627,627,-12.99,-10.0
628,628,-13.86,-9.5
629,629,-12.12,-9.5
630,630,-16.45,-11.0
631,631,-15.59,-10.5
632,632,-16.45,-10.0
633,633,-17.32,-9.5
634,634,-14.72,-10.0
635,635,-15.59,-9.5
636,636,-14.72,-9.0
637,637,-15.59,-8.5
638,638,-14.72,-8.0
639,639,-12.99,-9.0
640,640,-13.86,-8.5
641,641,-12.12,-8.5
642,642,-12.99,-8.0
643,643,-13.86,-7.5
644,644,-12.12,-7.5
645,645,-12.99,-7.0
646,646,-13.86,-6.5
647,647,-12.12,-6.5
648,648,-12.99,-6.0
649,649,-13.86,-5.5
650,650,-12.12,-5.5
651,651,-12.99,-5.0
652,652,-13.86,-4.5
653,653,-12.12,-4.5
654,654,-12.99,-4.0
655,655,-13.86,-3.5
656,656,-12.12,-3.5
657,657,-12.99,-3.0
658,658,-13.86,-2.5
659,659,-12.12,-2.5
660,660,-12.99,-2.0
661,661,-13.86,-1.5
662,662,-12.12,-1.5
663,663,-12.99,-1.0
664,664,-13.86,-0.5
665,665,-12.12,-0.5
666,666,-15.59,-4.5
667,667,-16.45,-4.0
668,668,-14.72,-4.0
669,669,-15.59,-3.5
670,670,-16.45,-3.0
671,671,-14.72,-3.0
672,672,-15.59,-2.5
673,673,-16.45,-2.0
674,674,-14.72,-2.0
675,675,-15.59,-1.5
676,676,-16.45,-1.0
677,677,-14.72,-1.0
678,678,-15.59,-0.5
679,679,-16.45,0.0
680,680,-14.72,0.0
681,681,-15.59,0.5
682,682,-16.45,1.0
683,683,-14.72,1.0
684,684,-16.45,-9.0
685,685,-17.32,-8.5
686,686,-18.19,-8.0
687,687,-16.45,-8.0
688,688,-17.32,-7.5
689,689,-18.19,-7.0
690,690,-19.05,-6.5
691,691,-17.32,-6.5
692,692,-18.19,-6.0
693,693,-15.59,-7.5
694,694,-16.45,-7.0
695,695,-14.72,-7.0
696,696,-15.59,-6.5
697,697,-16.45,-6.0
698,698,-14.72,-6.0
699,699,-15.59,-5.5
700,700,-16.45,-5.0
701,701,-14.72,-5.0
702,702,-18.19,-3.0
703,703,-17.32,-3.5
704,704,-19.05,-3.5
705,705,-18.19,-4.0
706,706,-17.32,-4.5
707,707,-19.05,-4.5
708,708,-18.19,-5.0
709,709,-17.32,-5.5
710,710,-19.05,-5.5
711,711,-18.19,0.0
712,712,-17.32,-0.5
713,713,-19.05,-0.5
714,714,-18.19,-1.0
715,715,-17.32,-1.5
716,716,-19.05,-1.5
717,717,-18.19,-2.0
718,718,-17.32,-2.5
719,719,-19.05,-2.5
720,720,-18.19,6.0
721,721,-17.32,5.5
722,722,-19.05,5.5
723,723,-18.19,5.0
724,724,-17.32,4.5
725,725,-19.05,4.5
726,726,-18.19,4.0
727,727,-17.32,3.5
728,728,-19.05,3.5
729,729,-18.19,3.0
730,730,-17.32,2.5
731,731,-19.05,2.5
732,732,-18.19,2.0
733,733,-17.32,1.5
734,734,-19.05,1.5
735,735,-18.19,1.0
736,736,-17.32,0.5
737,737,-19.05,0.5
738,738,-15.59,4.5
739,739,-16.45,5.0
740,740,-14.72,5.0
741,741,-15.59,5.5
742,742,-16.45,6.0
743,743,-14.72,6.0
744,744,-15.59,6.5
745,745,-16.45,7.0
746,746,-14.72,7.0
747,747,-15.59,1.5
748,748,-16.45,2.0
749,749,-14.72,2.0
750,750,-15.59,2.5
751,751,-16.45,3.0
752,752,-14.72,3.0
753,753,-15.59,3.5
754,754,-16.45,4.0
755,755,-14.72,4.0
756,756,-12.99,9.0
757,757,-13.86,9.5
758,758,-12.12,9.5
759,759,-12.99,10.0
760,760,-13.86,10.5
761,761,-12.12,10.5
762,762,-12.99,11.0
763,763,-13.86,11.5
764,764,-12.12,11.5
765,765,-14.72,11.0
766,766,-14.72,12.0
767,767,-13.86,12.5
768,768,-14.72,13.0
769,769,-12.99,12.0
770,770,-12.12,12.5
771,771,-12.99,13.0
772,772,-13.86,13.5
773,773,-12.12,13.5
774,774,-15.59,7.5
775,775,-14.72,8.0
776,776,-15.59,8.5
777,777,-14.72,9.0
778,778,-15.59,9.5
779,779,-14.72,10.0
780,780,-15.59,10.5
781,781,-16.45,11.0
782,782,-15.59,11.5
783,783,-17.32,6.5
784,784,-18.19,7.0
785,785,-17.32,7.5
786,786,-18.19,8.0
787,787,-16.45,8.0
788,788,-17.32,8.5
789,789,-16.45,9.0
790,790,-17.32,9.5
791,791,-16.45,10.0
792,792,-10.39,10.5
793,793,-11.26,11.0
794,794,-9.53,11.0
795,795,-10.39,11.5
796,796,-11.26,12.0
797,797,-9.53,12.0
798,798,-10.39,12.5
799,799,-11.26,13.0
800,800,-9.53,13.0
801,801,-10.39,13.5
802,802,-11.26,14.0
803,803,-9.53,14.0
804,804,-10.39,14.5
805,805,-12.99,14.0
806,806,-12.12,14.5
807,807,-12.99,15.0
808,808,-11.26,15.0
809,809,-12.12,15.5
810,810,-10.39,7.5
811,811,-11.26,8.0
812,812,-9.53,8.0
813,813,-10.39,8.5
814,814,-11.26,9.0
815,815,-9.53,9.0
816,816,-10.39,9.5
817,817,-11.26,10.0
818,818,-9.53,10.0
819,819,-10.39,4.5
820,820,-11.26,5.0
821,821,-9.53,5.0
822,822,-10.39,5.5
823,823,-11.26,6.0
824,824,-9.53,6.0
825,825,-10.39,6.5
826,826,-11.26,7.0
827,827,-9.53,7.0
828,828,-12.99,6.0
829,829,-13.86,6.5
830,830,-12.12,6.5
831,831,-12.99,7.0
832,832,-13.86,7.5
833,833,-12.12,7.5
834,834,-12.99,8.0
835,835,-13.86,8.5
836,836,-12.12,8.5
837,837,-12.99,3.0
838,838,-13.86,3.5
839,839,-12.12,3.5
840,840,-12.99,4.0
841,841,-13.86,4.5
842,842,-12.12,4.5
843,843,-12.99,5.0
844,844,-13.86,5.5
845,845,-12.12,5.5
846,846,-10.39,1.5
847,847,-11.26,2.0
848,848,-9.53,2.0
849,849,-10.39,2.5
850,850,-11.26,3.0
851,851,-9.53,3.0
852,852,-10.39,3.5
853,853,-11.26,4.0
854,854,-9.53,4.0
855,855,-12.99,0.0
856,856,-13.86,0.5
857,857,-12.12,0.5
858,858,-12.99,1.0
859,859,-13.86,1.5
860,860,-12.12,1.5
861,861,-12.99,2.0
862,862,-13.86,2.5
863,863,-12.12,2.5
864,864,-6.93,15.5
865,865,-7.79,16.0
866,866,-6.93,16.5
867,867,-7.79,17.0
868,868,-8.66,17.5
869,869,-6.93,17.5
870,870,-7.79,18.0
871,871,-6.06,18.0
872,872,-6.93,18.5
873,873,-9.53,15.0
874,874,-8.66,15.5
875,875,-7.79,15.0
876,876,-8.66,16.5
877,877,-9.53,16.0
878,878,-11.26,16.0
879,879,-10.39,16.5
880,880,-10.39,15.5
881,881,-9.53,17.0
882,882,-7.79,12.0
883,883,-8.66,12.5
884,884,-6.93,12.5
885,885,-7.79,13.0
886,886,-8.66,13.5
887,887,-6.93,13.5
888,888,-7.79,14.0
889,889,-8.66,14.5
890,890,-6.93,14.5
891,891,-7.79,9.0
892,892,-8.66,9.5
893,893,-6.93,9.5
894,894,-7.79,10.0
895,895,-8.66,10.5
896,896,-6.93,10.5
897,897,-7.79,11.0
898,898,-8.66,11.5
899,899,-6.93,11.5
900,900,-7.79,6.0
901,901,-8.66,6.5
902,902,-6.93,6.5
903,903,-7.79,7.0
904,904,-8.66,7.5
905,905,-6.93,7.5
906,906,-7.79,8.0
907,907,-8.66,8.5
908,908,-6.93,8.5
909,909,-7.79,3.0
910,910,-8.66,3.5
911,911,-6.93,3.5
912,912,-7.79,4.0
913,913,-8.66,4.5
914,914,-6.93,4.5
915,915,-7.79,5.0
916,916,-8.66,5.5
917,917,-6.93,5.5
918,918,-7.79,0.0
919,919,-8.66,0.5
920,920,-6.93,0.5
921,921,-7.79,1.0
922,922,-8.66,1.5
923,923,-6.93,1.5
924,924,-7.79,2.0
925,925,-8.66,2.5
926,926,-6.93,2.5
927,927,-10.39,-1.5
928,928,-11.26,-1.0
929,929,-9.53,-1.0
930,930,-10.39,-0.5
931,931,-11.26,0.0
932,932,-9.53,0.0
933,933,-10.39,0.5
934,934,-11.26,1.0
935,935,-9.53,1.0
936,936,-5.2,16.5
937,937,-6.06,17.0
938,938,-4.33,17.0
939,939,-5.2,17.5
940,940,-4.33,18.0
941,941,-5.2,18.5
942,942,-3.46,18.5
943,943,-4.33,19.0
944,944,-3.46,19.5
945,945,-5.2,13.5
946,946,-6.06,14.0
947,947,-4.33,14.0
948,948,-5.2,14.5
949,949,-6.06,15.0
950,950,-4.33,15.0
951,951,-5.2,15.5
952,952,-6.06,16.0
953,953,-4.33,16.0
954,954,-5.2,10.5
955,955,-6.06,11.0
956,956,-4.33,11.0
957,957,-5.2,11.5
958,958,-6.06,12.0
959,959,-4.33,12.0
960,960,-5.2,12.5
961,961,-6.06,13.0
962,962,-4.33,13.0
963,963,-5.2,7.5
964,964,-6.06,8.0
965,965,-4.33,8.0
966,966,-5.2,8.5
967,967,-6.06,9.0
968,968,-4.33,9.0
969,969,-5.2,9.5
970,970,-6.06,10.0
971,971,-4.33,10.0
972,972,-5.2,4.5
973,973,-6.06,5.0
974,974,-4.33,5.0
975,975,-5.2,5.5
976,976,-6.06,6.0
977,977,-4.33,6.0
978,978,-5.2,6.5
979,979,-6.06,7.0
980,980,-4.33,7.0
981,981,-5.2,1.5
982,982,-6.06,2.0
983,983,-4.33,2.0
984,984,-5.2,2.5
985,985,-6.06,3.0
986,986,-4.33,3.0
987,987,-5.2,3.5
988,988,-6.06,4.0
989,989,-4.33,4.0
990,990,-2.6,3.0
991,991,-3.46,3.5
992,992,-1.73,3.5
993,993,-2.6,4.0
994,994,-3.46,4.5
995,995,-1.73,4.5
996,996,-2.6,5.0
997,997,-3.46,5.5
998,998,-1.73,5.5
999,999,-2.6,0.0
1000,1000,-3.46,0.5
1001,1001,-1.73,0.5
1002,1002,-2.6,1.0
1003,1003,-3.46,1.5
1004,1004,-1.73,1.5
1005,1005,-2.6,2.0
1006,1006,-3.46,2.5
1007,1007,-1.73,2.5
1008,1008,-2.6,15.0
1009,1009,-3.46,15.5
1010,1010,-1.73,15.5
1011,1011,-2.6,16.0
1012,1012,-3.46,16.5
1013,1013,-1.73,16.5
1014,1014,-2.6,17.0
1015,1015,-3.46,17.5
1016,1016,-1.73,17.5
1017,1017,-2.6,12.0
1018,1018,-3.46,12.5
1019,1019,-1.73,12.5
1020,1020,-2.6,13.0
1021,1021,-3.46,13.5
1022,1022,-1.73,13.5
1023,1023,-2.6,14.0
1024,1024,-3.46,14.5
1025,1025,-1.73,14.5
1026,1026,-2.6,9.0
1027,1027,-3.46,9.5
1028,1028,-1.73,9.5
1029,1029,-2.6,10.0
1030,1030,-3.46,10.5
1031,1031,-1.73,10.5
1032,1032,-2.6,11.0
1033,1033,-3.46,11.5
1034,1034,-1.73,11.5
1035,1035,-2.6,6.0
1036,1036,-3.46,6.5
1037,1037,-1.73,6.5
1038,1038,-2.6,7.0
1039,1039,-3.46,7.5
1040,1040,-1.73,7.5
1041,1041,-2.6,8.0
